timestamp,kwh
2025-01-05 08:00:00,9.07
2025-01-05 09:00:00,9.79
2025-01-05 10:00:00,9.05
2025-01-05 11:00:00,9.66
2025-01-05 12:00:00,10.84
2025-01-05 13:00:00,8.27
2025-01-05 14:00:00,10.43
2025-01-05 15:00:00,10.24
2025-01-05 16:00:00,9.41
2025-01-05 17:00:00,8.55
2025-01-05 18:00:00,10.07
2025-01-05 19:00:00,9.47
2025-01-05 20:00:00,10.23
2025-01-05 21:00:00,7.02
2025-01-05 22:00:00,8.6
2025-01-05 23:00:00,6.76
2025-01-06 00:00:00,5.98
2025-01-06 01:00:00,7.18
2025-01-06 02:00:00,7.22
2025-01-06 03:00:00,8.36
2025-01-06 04:00:00,7.84
2025-01-06 05:00:00,7.36
2025-01-06 06:00:00,8.46
2025-01-06 07:00:00,5.81
2025-01-06 08:00:00,9.36
2025-01-06 09:00:00,9.07
2025-01-06 10:00:00,9.61
2025-01-06 11:00:00,8.62
2025-01-06 12:00:00,10.64
2025-01-06 13:00:00,9.78
2025-01-06 14:00:00,8.53
2025-01-06 15:00:00,8.98
2025-01-06 16:00:00,10.31
2025-01-06 17:00:00,10.84
2025-01-06 18:00:00,12.0
2025-01-06 19:00:00,12.91
2025-01-06 20:00:00,10.41
2025-01-06 21:00:00,6.01
2025-01-06 22:00:00,4.87
2025-01-06 23:00:00,7.27
2025-01-07 00:00:00,6.19
2025-01-07 01:00:00,6.58
2025-01-07 02:00:00,6.39
2025-01-07 03:00:00,6.86
2025-01-07 04:00:00,8.07
2025-01-07 05:00:00,7.16
2025-01-07 06:00:00,6.84
2025-01-07 07:00:00,5.96
2025-01-07 08:00:00,8.33
2025-01-07 09:00:00,9.51
2025-01-07 10:00:00,9.95
2025-01-07 11:00:00,11.77
2025-01-07 12:00:00,10.13
2025-01-07 13:00:00,10.98
2025-01-07 14:00:00,9.5
2025-01-07 15:00:00,8.82
2025-01-07 16:00:00,9.03
2025-01-07 17:00:00,9.27
2025-01-07 18:00:00,12.13
2025-01-07 19:00:00,9.18
2025-01-07 20:00:00,10.84
2025-01-07 21:00:00,6.1
2025-01-07 22:00:00,7.93
2025-01-07 23:00:00,7.38
